drive_id,drive_start,drive_end
2016_02_NO_NYG_9,Fumble,Punt
2016_02_NO_NYG_10,Punt,Turnover
2016_02_NO_NYG_12,Kickoff,Field Goal
2016_02_NO_NYG_14,Kickoff,Field Goal
2016_02_NO_NYG_16,Punt,Field Goal
2016_02_NO_NYG_17,Kickoff,Touchdown
2016_02_NO_NYG_18,Kickoff,Field Goal
2016_02_NO_NYG_19,Kickoff,Punt
2016_02_NO_NYG_20,Punt,Punt
2016_02_NO_NYG_21,Punt,Field Goal
2016_02_NO_NYG_22,Kickoff,Field Goal
2016_02_NYJ_BUF_1,Kickoff,Field Goal
2016_02_NYJ_BUF_2,Kickoff,Touchdown
2016_02_NYJ_BUF_3,Kickoff,Field Goal
2016_02_NYJ_BUF_4,Kickoff,Punt
2016_02_NYJ_BUF_5,Punt,Touchdown
2016_02_NYJ_BUF_6,Kickoff,Punt
2016_02_NYJ_BUF_7,Punt,Touchdown
2016_02_NYJ_BUF_8,Kickoff,Field Goal
2016_02_NYJ_BUF_10,Kickoff,Touchdown
2016_02_NYJ_BUF_12,Kickoff,Punt
2016_02_NYJ_BUF_13,Punt,Punt
2016_02_NYJ_BUF_14,Punt,Touchdown
2016_02_NYJ_BUF_15,Kickoff,Turnover
2016_02_NYJ_BUF_16,Interception,Field Goal
2016_02_NYJ_BUF_17,Kickoff,Turnover
2016_02_NYJ_BUF_18,Fumble,Touchdown
2016_02_NYJ_BUF_19,Kickoff,Touchdown
2016_02_NYJ_BUF_20,Kickoff,Punt
2016_02_PHI_CHI_1,Kickoff,Punt
2016_02_PHI_CHI_2,Punt,Field Goal
2016_02_PHI_CHI_3,Kickoff,Field Goal
2016_02_PHI_CHI_5,Punt,Touchdown
2016_02_PHI_CHI_6,Kickoff,Punt
2016_02_PHI_CHI_7,Punt,Punt
2016_02_PHI_CHI_8,Punt,Field Goal
2016_02_PHI_CHI_9,Kickoff,Punt
2016_02_PHI_CHI_10,Punt,Field Goal
2016_02_PHI_CHI_12,Kickoff,Punt
2016_02_PHI_CHI_13,Punt,Turnover
2016_02_PHI_CHI_14,Fumble,Punt
2016_02_PHI_CHI_15,Punt,Punt
2016_02_PHI_CHI_16,Punt,Touchdown
2016_02_PHI_CHI_19,Kickoff,Turnover
2016_02_PHI_CHI_20,Fumble,Touchdown
2016_02_PHI_CHI_21,Kickoff,Turnover
2016_02_SEA_LA_1,Kickoff,Field Goal
2016_02_SEA_LA_2,Kickoff,Punt
2016_02_SEA_LA_3,Punt,Punt
2016_02_SEA_LA_4,Punt,Field Goal
2016_02_SEA_LA_5,Kickoff,Punt
2016_02_SEA_LA_6,Punt,Punt
2016_02_SEA_LA_7,Punt,Punt
2016_02_SEA_LA_8,Punt,Punt
